domain,registrant
"greenvehicleguide.gov.au","Department of Infrastructure and Regional Development"
"growingupinaustralia.gov.au","Australian Institute of Family Studies"
"gstdistributionreview.gov.au","Department of the Treasury"
"gtrc.gov.au","(WA) Department of Commerce"
"guaranteescheme.gov.au","Reserve Bank of Australia"
"haccmds.gov.au","Department of Social Services"
"harbourtrust.gov.au","Sydney Harbour Federation Trust"
"harmony.gov.au","Department of Social Services"
"harmonyday.gov.au","Department of Social Services"
"harvesttrail.gov.au","Department of Employment"
"hccoombscentre.gov.au","Reserve Bank of Australia"
"hcourt.gov.au","High Court of Australia"
"headlandpark.gov.au","Sydney Harbour Federation Trust"
"health.gov.au","Department of Health"
"healthdata.gov.au","Department of Health"
"healthdirect.gov.au","National Health Call Centre Network Ltd"
"healthemergency.gov.au","Department of Health"
"healthinsite.gov.au","National Health Call Centre Network Ltd"
"healthstarrating.gov.au","Department of Health"
"healthyactive.gov.au","Department of Health"
"healthyworkers.gov.au","Department of Health"
"hearingservices.gov.au","Department of Health"
"heritage.gov.au","Department of the Environment"
"hestandards.gov.au","Tertiary Education Quality and Standards Agency"
"hic.gov.au","Department of Human Services"
"highcommission.gov.au","Department of Foreign Affairs and Trade"
"highcourt.gov.au","High Court of Australia"
"highered.gov.au","Department of Education and Training"
"hihroyalcom.gov.au","Department of the Prime Minister and Cabinet"
"hmac.gov.au","(SA) Health Community and Disability Services Ministerial Council"
"hmasplatypus.gov.au","Sydney Harbour Federation Trust"
"homeinsulationroyalcommission.gov.au","Attorney-General's Department"
"horizonscanning.gov.au","Department of Health"
"hpccc.gov.au","Commonwealth Scientific and Industrial Research Organisation (CSIRO)"
"hreoc.gov.au","Australian Human Rights Commission"
"htci.gov.au","Australian Federal Police"
"humanrights.gov.au","Australian Human Rights Commission"
"humanservices.gov.au","Department of Human Services"
"hwa.gov.au","Department of Health"
"hwa2013.gov.au","Department of Health"
"hydro.gov.au","Department of Defence"
"iaa.gov.au","Migration Review Tribunal and Refugee Review Tribunal"
"iap.gov.au","Transport Certification Australia Limited"
"iasc.gov.au","Department of Infrastructure and Regional Development"
"iba.gov.au","Indigenous Business Australia"
"ic.gov.au","Department of Defence"
"ica.gov.au","Australian Communications and Media Authority (ACMA)"
"icc.gov.au","Department of the Prime Minister and Cabinet"
"icl.gov.au","(NSW) Legal Aid Commission of NSW"
"icsm.gov.au","Geoscience Australia"
"idis.gov.au","Department of Health"
"igb.gov.au","Department of Agriculture"
"igis.gov.au","Inspector General of Intelligence and Security"
"igt.gov.au","Department of the Treasury"
"ihpa.gov.au","Department of Health"
"ilc.gov.au","Indigenous Land Corporation"
"ilcorp.gov.au","Indigenous Land Corporation (ILC)"
"immi.gov.au","Department of Immigration and Border Protection"
"immigration.gov.au","Department of Immigration and Border Protection"
"immigration-bis.gov.au","Department of Immigration and Border Protection"
"immunisation.gov.au","Department of Human Services"
"independentreviewer.gov.au","Attorney-General's Department"
"independentreviewpbs.gov.au","Department of Health"
"indigenous.gov.au","Department of the Prime Minister and Cabinet"
"indigenouscareers.gov.au","Australian Public Service Commission"
"indigenousjustice.gov.au","Australian Institute of Criminology"
"indigo.gov.au","Department of the Prime Minister and Cabinet"
"industry.gov.au","Department of Industry and Science"
"infrastructure.gov.au","Department of Infrastructure and Regional Development"
"infrastructureaustralia.gov.au","Department of Infrastructure and Regional Development"
"innovated.gov.au","IP Australia"
"innovation.gov.au","Department of Industry and Science"
"intercountryadoption.gov.au","Department of Social Services"
"internationaleducation.gov.au","Department of Education and Training"
"internetbasics.gov.au","Department of Communications"
"invest.gov.au","Invest Australia"
"investaustralia.gov.au","Invest Australia"
"ipaustralia.gov.au","IP Australia"
"ips.gov.au","IPS Radio Space Services"
"itsa.gov.au","Australian Financial Security Authority"
"itsanhonour.gov.au","Department of the Prime Minister and Cabinet"
"jacc.gov.au","Department of Infrastructure and Regional Development"
"jobaccess.gov.au","Department of Social Services"
"jobactive.gov.au","Department of Employment"
"joboutlook.gov.au","Department of Employment"
"jobsboard.gov.au","Department of Employment"
"jobsearch.gov.au","Department of Employment"
"koreanroll.gov.au","Department of Veterans' Affairs"
"lakeeyrebasin.gov.au","Department of the Environment"
"landcare.gov.au","Department of Agriculture"
"law.gov.au","Office of Parliamentary Counsel"
"lccsc.gov.au","(NSW) Department of Justice"
"lebmf.gov.au","Department of the Environment"
"legislation.gov.au","Office of Parliamentary Counsel"
"licencerecognition.gov.au","Department of Industry and Science"
"licenserecognition.gov.au","Department of Industry and Science"
"literacyandnumeracy.gov.au","Department of Education and Training"
"litmus.gov.au","Attorney-Generals Department"
"liveexports.gov.au","Department of Agriculture"
"livestockexportreview.gov.au","Department of Agriculture"
"livinggreener.gov.au","Department of Industry and Science"
"livinglongerlivingbetter.gov.au","Department of Social Services"
"livingsafetogether.gov.au","Attorney-General's Department"
"lmip.gov.au","Department of Employment"
"loseweightgainlife.gov.au","Department of Health"
"lowaromaticunleaded.gov.au","Department of the Prime Minister and Cabinet"
"lwa.gov.au","Cotton Research and Development Corporation"
"macquarielighthouse.gov.au","Sydney Harbour Federation Trust"
"maff.gov.au","Department of Agriculture"
"majorcities.gov.au","Department of Infrastructure and Regional Development"
"majorprojectfacilitation.gov.au","Department of Infrastructure and Regional Development"
"managingclimate.gov.au","Grains Research and Development Corporation"
"managingnuclearwaste.gov.au","Australian Nuclear Science and Technology Organisation"
"maps.gov.au","Department of Communications"
"mara.gov.au","Department of Immigration and Border Protection"
"marinemammals.gov.au","Australian Antarctic Division"
"marinepests.gov.au","Department of Agriculture"
"marinereservesreview.gov.au","Department of Environment"
"mbsonline.gov.au","Department of Health"
"mcasd.gov.au","Department of Immigration and Border Protection"
"mdba.gov.au","Murray-Darling Basin Authority"
"measurement.gov.au","Department of Industry and Science"
"measureup.gov.au","Department of Health"
"medibankshareoffer.gov.au","Department of Finance"
"medicalboard.gov.au","Australian Health Practitioner Regulation Agency (AHPRA)"
"medicalradiationpracticeboard.gov.au","Australian Health Practitioner Regulation Agency (AHPRA)"
"medicare.gov.au","Department of Human Services"
"medicareaustralia.gov.au","Department of Human Services"
"medicarelocals.gov.au","Department of Health"
"mentalhealth.gov.au","Department of Health"
"mentalhealthcommission.gov.au","Department of Health"
"metoc.gov.au","RAN Hydrography and Metoc Branch"
"mhpod.gov.au","(VIC) Australian Health Ministers' Advisory Council Secretariat"
"mhs.gov.au","Department of Human Services"
"migration.gov.au","Department of Immigration and Border Protection"
"militarysuper.gov.au","Commonwealth Superannuation Corporation"
"mincos.gov.au","Department of Agriculture"
"mindhealthconnect.gov.au","National Health Call Centre Network Ltd"
"ministerjustice.gov.au","Attroney-General's Department"
"missingpersons.gov.au","Australian Federal Police"
"mission.gov.au","Department of Foreign Affairs and Trade"
"moad.gov.au","Old Parliament House"
"moadoph.gov.au","Old Parliament House"
"moneysmart.gov.au","Australian Securities and Investments Commission"
"mpaa.gov.au","Department of Industry and Science"
"mrcs.gov.au","Department of Veterans' Affairs"
"mrt.gov.au","Migration Review Tribunal"
"mrt-rrt.gov.au","Migration Review Tribunal and Refugee Review Tribunal"
"msac.gov.au","Department of Health"
"multiculturalaustralia.gov.au","(NSW) Board of Studies NEW SOUTH WALES"
"my.gov.au","Department of Human Services"
"myagedcare.gov.au","Department of Social Services"
"mychild.gov.au","Department of Social Services"
"mycouncil.gov.au","(SA) Local Government Association of South Australia"
"myfuture.gov.au","Department of Education and Training"
"mygov.gov.au","Department of Human Services"
"myhealthrecord.gov.au","Department of Health"
"myhealthycommunities.gov.au","National Health Performance Authority"
"myhospitals.gov.au","National Health Performance Authority"
"mylanguage.gov.au","(VIC) Vicnet"
"mymaps.gov.au","Department of Communications"
"myregion.gov.au","Department of Infrastructure and Regional Development"
"myskills.gov.au","Department of Industry and Science"
"mysuper.gov.au","Department of the Treasury"
"myuniversity.gov.au","Department of Education and Training"
"naa.gov.au","National Archives of Australia"
"nabers.gov.au","(NSW) Office of Environment and Heritage"
"nal.gov.au","National Acoustic Laboratories"
"nams.gov.au","Department of Agriculture"
"nanotechnology.gov.au","Department of Industry and Science"
"nash.gov.au","National E-Health Transition Authority Ltd"
"natcap.gov.au","National Capital Authority"
"natese.gov.au","Department of Industry and Science"
"nathers.gov.au","Department of Industry and Science"
"nationalbotanicgardens.gov.au","Parks Australia/Director of National Parks"
"nationalcapital.gov.au","National Capital Authority"
"nationaldrugstrategy.gov.au","Department of Health"
"nationalgallery.gov.au","National Gallery of Australia"
"nationalmap.gov.au","Geoscience Australia"
"nationalminesatlas.gov.au","Geoscience Australia"
"nationalsecurity.gov.au","Attorney-General's Department"
"nationalwatermarket.gov.au","Department of the Environment"
"nationalworkersmemorial.gov.au","Department of Employment"
"nationbuilding.gov.au","Department of Infrastructure and Regional Development"
"nationbuildingprogram.gov.au","Department of Infrastructure and Regional Development"
"natsihec.gov.au","Department of Health"
"navy.gov.au","Department of Defence"
"navycadets.gov.au","Department of Defence"
"nba.gov.au","National Blood Authority"
"ncac.gov.au","Australian Children's Education and Care Quality Authority (ACECQA)"
"ncc.gov.au","National Competition Council"
"nccb.gov.au","Australian Building Codes Board"
"ncoa.gov.au","Department of Finance"
"ndir.gov.au","Department of the Treasury"
"ndis.gov.au","National Disability Insurance Agency"
"ndlerf.gov.au","Australian Institute of Criminology"
"ndsp.gov.au","(SA) Department of Primary Industries and Resources"
"neaf.gov.au","National Health and Medical Research Council (NHMRC)"
"necc.gov.au","Department of Human Services"
"necs.gov.au","Land and Property Information"
"nehta.gov.au","National E-Health Transition Authority LTD"
"neii.gov.au","Bureau of Meteorology"
"neo.gov.au","IPS Radio Space Services"
"nepc.gov.au","Department of the Environment"
"newcolomboplan.gov.au","Department of Foreign Affairs and Trade"
"nfsa.gov.au","National Film and Sound Archive of Australia"
"nga.gov.au","National Gallery of Australia"
"nhfa.gov.au","National Health Funding Body"
"nhfb.gov.au","National Health Funding Body"
"nhmrc.gov.au","National Health and Medical Research Council (NHMRC)"
"nhpa.gov.au","Department of Health"
"nhpopc.gov.au","National Health Practitioner Ombudsman and Privacy Commissioner"
"nhvr.gov.au","National Heavy Vehicle Regulator"
"nhwt.gov.au","Department of Health"
"niac.gov.au","Department of the Treasury"
"nicnas.gov.au","Department of Health"
"nics.gov.au","Department of Infrastructure and Regional Development"
"nicta.gov.au","National ICT Australia"
"nio.gov.au","Commonwealth Ombudsman"
"nitac.gov.au",Nitac
"nla.gov.au","National Library of Australia"
"nma.gov.au","National Museum of Australia"
"nmi.gov.au","Department of Industry and Science"
"nnnet.gov.au","Department of Health"
"nntt.gov.au","National Native Title Tribunal"
"noie.gov.au","Department of Finance"
"nopims.gov.au","Geoscience Australia"
"nopsa.gov.au","National Offshore Petroleum Safety and Environmental Management Authority"
"nopsema.gov.au","National Offshore Petroleum Safety and Environmental Management Authority"
"nopta.gov.au","Department of Industry and Science"
"northhead.gov.au","Sydney Harbour Federation Trust"
"notforprofit.gov.au","Department of Social Services"
"npg.gov.au","National Portrait Gallery"
"nphp.gov.au","(VIC) Department of Health & Human Services"
"npi.gov.au","Department of the Environment"
"npsi.gov.au","Cotton Research and Development Corporation"
"nqhomeinsurance.gov.au","Australian Securities and Investments Commission"
"nra.gov.au","Australian Pesticides and Veterinary Medicines Authority"
"nrl.gov.au","National Serology Reference Laboratory"
"nrm.gov.au","Department of the Environment"
"nrscall.gov.au","Telecommunications Universal Service Management Agency"
"nrsch.gov.au","(NSW) Housing NSW"
"nrv.gov.au","National Health and Medical Research Council (NHMRC)"
"nss.gov.au","Australian Bureau of Statistics"
"ntc.gov.au","National Transport Commission"
"nterreview.gov.au","Department of the Prime Minister and Cabinet"
"ntis.gov.au","Department of Industry and Science"
"nursingmidwiferyboard.gov.au","Australian Health Practitioner Regulation Agency (AHPRA)"
"nwc.gov.au","National Water Commission"
"oaic.gov.au","Office of the Australian Information Commissioner"
"obpr.gov.au","Department of the Prime Minister and Cabinet"
"occupationaltherapyboard.gov.au","Australian Health Practitioner Regulation Agency (AHPRA)"
"ochrestreams.gov.au","Department of Health"
"ogtr.gov.au","Department of Health"
"oilforfoodinquiry.gov.au","Department of the Prime Minister and Cabinet"
"oldparliamenthouse.gov.au","Old Parliament House"
"olt.gov.au","Department of Education and Training"
"ombudsman.gov.au","Commonwealth Ombudsman"
"ona.gov.au","Office of National Assessments"
"onsecure.gov.au","Department of Defence"
"opc.gov.au","Office of Parliamentary Counsel"
"oph.gov.au","Old Parliament House"
"optometryboard.gov.au","Australian Health Practitioner Regulation Agency (AHPRA)"
"oratsic.gov.au","Department of the Prime Minister and Cabinet"
"organdonation.gov.au","Department of Human Services"
"organdonor.gov.au","Department of Human Services"
"organisationalresilience.gov.au","Attorney-General's Department"
"oric.gov.au","Department of the Prime Minister and Cabinet"
"oscar.gov.au","Clean Energy Regulator"
"oso.gov.au","Commonwealth Ombudsman"
"osteopathyboard.gov.au","Australian Health Practitioner Regulation Agency (AHPRA)"
"otl.gov.au","Department of the Prime Minister and Cabinet"
"outbreak.gov.au","Department of Agriculture"
"ozcam.gov.au","Australian Museum"
"ozcoasts.gov.au","Geoscience Australia"
"ozfoodnet.gov.au","Department of Health"
"packsomepeaceofmind.gov.au","(VIC) Travel Compensation Fund"
"padil.gov.au","(VIC) Museum Victoria"
"palliativecare.gov.au","Department of Health"
"parksaustralia.gov.au","Director of National Parks"
"parlcom.gov.au","Department of Parliamentary Services"
"parlsecfinance.gov.au","Department of Finance"
"passports.gov.au","Department of Foreign Affairs and Trade"
"patents.gov.au","IP Australia"
"payrolltax.gov.au","(TAS) The Australian State and Territory Revenue Offices"
"pbo.gov.au","Parliamentary Budget Office"
"pbs.gov.au","Department of Health"
"pbsaustralia.gov.au","Department of Human Services"
"pc.gov.au","Productivity Commission"
"pcc.gov.au","Australasian Parliamentary Counsels Committee"
"pcehrreview.gov.au","Department of Health"
"peo.gov.au","Parliamentary Education Office (PEO)"
"petroleum-acreage.gov.au","Department of Industry and Science"
"pharmacyboard.gov.au","Australian Health Practitioner Regulation Agency (AHPRA)"
"phiac.gov.au","Private Health Insurance Administration Council"
"phio.gov.au","Private Health Insurance Ombudsman"
"phm.gov.au","(NSW) Museum of Applied Arts and Sciences"
"physiotherapyboard.gov.au","Australian Health Practitioner Regulation Agency (AHPRA)"
"pictureaustralia.gov.au","National Library of Australia"
"picturethesaurus.gov.au","(NSW) Library Council of New South Wales"
"pio.gov.au","Commonwealth Ombudsman"
"plaid.gov.au","Department of Human Services"
"plantbreeders.gov.au","IP Australia"
"pm.gov.au","Department of the Prime Minister and Cabinet"
"pmc.gov.au","Department of the Prime Minister and Cabinet"
"podiatryboard.gov.au","Australian Health Practitioner Regulation Agency (AHPRA)"
"portrait.gov.au","National Portrait Gallery"
"pppforum.gov.au","Department of Infrastructure and Regional Development"
"ppsr.gov.au","Australian Financial Security Authority"
"printsandprintmaking.gov.au","National Gallery of Australia"
"privacy.gov.au","Office of the Australian Information Commissioner"
"privatehealth.gov.au","Private Health Insurance Ombudsman"
"privatehealthinsurance.gov.au","Private Health Insurance Ombudsman"
"problemgambling.gov.au","Department of Social Services"
"productsafety.gov.au","Australian Competition and Consumer Commission"
"professionalstandardscouncil.gov.au","(NSW) Department of Attorney General & Justice"
"protectivesecurity.gov.au","Attorney-General's Department"
"psb.gov.au","IP Australia"
"psc.gov.au","(NSW) Office of the Professional Standards Councils"
"psmaff.gov.au","Department of Agriculture"
"psmprogram.gov.au","Australian Public Service Commission"
"psr.gov.au","Professional Services Review"
"pss.gov.au","Commonwealth Superannuation Corporation"
"pssap.gov.au","Commonwealth Superannuation Corporation"
"pss-css.gov.au","Commonwealth Superannuation Corporation"
"psychologyboard.gov.au","Australian Health Practitioner Regulation Agency (AHPRA)"
"publichealth.gov.au","(SA) Public Health Information Development Unit"
"publichospitalfunding.gov.au","National Health Funding Body"
"pws.gov.au","Department of Education and Training"
"pzja.gov.au","Australian Fisheries Management Authority"
"qilt.gov.au","Department of Education and Training"
"qrhf.gov.au","Australian Public Service Commission"
"quarantine.gov.au","Department of Agriculture"
"quarantinedomestic.gov.au","(VIC) Department of Primary Industries, Victoria"
"questacon.gov.au","Questacon - The National Science and Technology Centre"
"quitnow.gov.au","Department of Health"
"raaf.gov.au","Department of Defence"
"raafais.gov.au","Royal Australian Air Force - Aeronautical Information Service (RAAF AIS)"
"raafamberleyheritage.gov.au","Department of Defence Royal Australian Air Force RAAF Base Amberley Aviation Heritage Centre"
"radioactivewaste.gov.au","Department of Industry and Science"
"ramint.gov.au","Royal Australian Mint"
"rba.gov.au","Reserve Bank of Australia"
"rda.gov.au","Department of Infrastructure and Regional Development"
"recalls.gov.au","Australian Competition and Consumer Commission"
"reconstructioninspectorate.gov.au","Department of Infrastructure and Regional Development"
"rec-registry.gov.au","Clean Energy Regulator"
"reefed.gov.au","Great Barrier Reef Marine Park Authority"
"reefhq.gov.au","Great Barrier Reef Marine Park Authority"
"regional.gov.au","Department of Infrastructure and Regional Development"
"regionalaustralia.gov.au","Department of Infrastructure and Regional Development"
"regulationtaskforce.gov.au","Productivity Commission"
"relayservice.gov.au","Telecommunications Universal Service Management Agency"
"remtribunal.gov.au","Australian Public Service Commission"
"resilientcommunities.gov.au","Attorney-General's Department"
"resources.gov.au","Department of Industry and Science"
"ret.gov.au","Department of Industry and Science"
"rfcs.gov.au","Department of Agriculture"
"rirdc.gov.au","Rural Industries Research and Development Corporation"
"rma.gov.au","Department of Veterans' Affairs"
"ro.gov.au","Department of Employment"
"roadreform.gov.au","(VIC) VicRoads"
"roadsafety.gov.au","Department of Infrastructure and Regional Development"
"roc.gov.au","Department of the Prime Minister and Cabinet"
"royalcombci.gov.au","Department of the Prime Minister and Cabinet"
"royalcommission.gov.au","Attorney-General's Department"
"rrt.gov.au","Refugee Review Tribunal"
"rsrt.gov.au","Fair Work Commission"
"rtirc.gov.au","Department of Communications"
"ruralhealthaustralia.gov.au","Department of Health"
"ruralwomensaward.gov.au","Rural Industries Research and Development Corporation"
"safetyandquality.gov.au","Department of Health"
"safeworkaustralia.gov.au","Department of Employment"
"sbr.gov.au","Australian Taxation Office"
"sbsch.gov.au","Australian Taxation Office"
"scamwatch.gov.au","Australian Competition and Consumer Commission"
"scec.gov.au","Security Construction & Equipment Committee"
"scer.gov.au","Department of Industry and Science"
"scew.gov.au","Department of the Environment"
"science.gov.au","Department of Industry and Science"
"sclj.gov.au","(NSW) Standing Council on Law and Justice"
"scoti.gov.au","Department of Infrastructure and Regional Development"
"screenaustralia.gov.au","Screen Australia"
"screensound.gov.au","National Film and Sound Archive of Australia"
"sct.gov.au","Superannuation Complaints Tribunal"
"sea1000.gov.au","Defence Materiel Organisation"
"seacare.gov.au","Comcare, the Safety, Rehabilitation and Compensation Commission, and the Seafarers' Safety, Rehabilitation and Compensation Authority"
"seafood.gov.au","Fisheries Research and Development Corporation"
"senate.gov.au","Department of the Senate"
"seniors.gov.au","Department of Social Services"
"shamcontractinginquiry.gov.au","Department of Employment"
"shapeup.gov.au","Department of Health"
"ska.gov.au","Department of Industry and Science"
"skilledmigrant.gov.au","Department of Employment"
"skills.gov.au","Department of Education and Training"
"skillsaustralia.gov.au","Department of Industry and Science"
"skillsconnect.gov.au","Department of Industry and Science"
"skillselect.gov.au","Department of Employment"
"skillsinfo.gov.au","Department of Employment"
"smallbusiness.gov.au","Department of Industry and Science"
"smartraveler.gov.au","Department of Foreign Affairs and Trade"
"smartraveller.gov.au","Department of Foreign Affairs and Trade"
"smartstart.gov.au","IP Australia"
"smarttraveler.gov.au","Department of Foreign Affairs and Trade"
"smarttraveller.gov.au","Department of Foreign Affairs and Trade"
"smos.gov.au","Department of Finance"
"smrc.gov.au","Department of Veterans' Affairs"
"snapperisland.gov.au","Sydney Harbour Federation Trust"
"somethingincommon.gov.au","Australian Human Rights Commission"
"space.gov.au","Department of Industry and Science"
"spaceweather.gov.au","IPS Radio Space Services"
"spatial.gov.au","Department of Communications"
"spiritofanzac.gov.au","Australian War Memorial"
"sport.gov.au","Department of Health"
"sportingschools.gov.au","Australian Sports Commission"
"srcc.gov.au",Comcare
"ssat.gov.au","Social Security Appeals Tribunal"
"ssc.gov.au","Department of Education and Training"
"startingblocks.gov.au","Australian Children's Education and Care Quality Authority (ACECQA)"
"stateguarantee.gov.au","Reserve Bank of Australia"
"statesrevenue.gov.au","(VIC) State Revenue Office, Victoria"
"statistics.gov.au","Australian Bureau of Statistics"
"staysmartonline.gov.au","Department of Communications"
"studentsfirst.gov.au","Department of Education and Training"
"studyassist.gov.au","Department of Education and Training"
"studyinaustralia.gov.au","Australian Trade Commission (Austrade)"
"studyoverseas.gov.au","Department of Education and Training"
"superannuationcomplaintstribunal.gov.au","Superannuation Complaints Tribunal"
"superfundlookup.gov.au","Department of Industry and Science"
"supersystemreview.gov.au","Department of the Treasury"
"supportingworkingparents.gov.au","Australian Human Rights Commission"
"surefastener.gov.au","Commonwealth Scientific and Industrial Research Organisation (CSIRO)"
"swa.gov.au","Department of Employment"
"swapit.gov.au","Department of Health"
"t4.gov.au","T4 Protective Security"
"tacklingbingedrinking.gov.au","Department of Health"
"takeastandtogether.gov.au","(QLD) Department of Education and Training"
"takeovers.gov.au","Department of the Treasury"
"tapaf.gov.au","Australian Trade Commission (Austrade)"
"tasmaniahealthcommission.gov.au","Department of Health"
"taxboard.gov.au","Department of the Treasury"
"taxmatters.gov.au","Australian Taxation Office"
"taxsuperandyou.gov.au","Australian Taxation Office"
"taxwriteoff.gov.au","Department of the Treasury"
"tca.gov.au","Transport Certification Australia Limited"
"teachlearnshare.gov.au","Department of Education and Training"
"telepresence.gov.au","Department of Finance"
"telework.gov.au","Department of Communications"
"tellmesomethingidontknow.gov.au","Australian Human Rights Commission"
"tenders.gov.au","Department of Finance"
"teqsa.gov.au","Productivity Commission"
"testagdaff.gov.au","Department of Agriculture"
"tga.gov.au","Department of Health"
"theline.gov.au","Department of Social Services"
"therightmix.gov.au","Department of Veterans' Affairs"
"ties.gov.au","Department of the Treasury"
"tisn.gov.au","Attorney-General's Department"
"tisnational.gov.au","Department of Immigration and Border Protection"
"tlr.gov.au","TLR Group"
"tmro.gov.au","Trade Measures Review Office"
"toiletmap.gov.au","Department of Social Services"
"touchbase.gov.au","Department of Veterans' Affairs"
"tourism.gov.au","Australian Trade Commission (Austrade)"
"tourism2020.gov.au","Australian Trade Commission (Austrade)"
"tourismaustralia.gov.au","Tourism Australia"
"tourismdotcom.gov.au","Australian Trade Commission (Austrade)"
"tpa.gov.au","Therapeutic Goods Administration"
"tpb.gov.au","Australian Taxation Office"
"tps.gov.au","Department of Education and Training"
"tra.gov.au","Australian Trade Commission (Austrade)"
"trackmi.gov.au","(NT) Department of Health - National Critical Care and Trauma Response Centre"
"trade.gov.au","Australian Trade Commission (Austrade)"
"trademarks.gov.au","IP Australia"
"trade-marks.gov.au","IP Australia"
"trademinister.gov.au","Department of Foreign Affairs and Trade"
"tradesrecognitionaustralia.gov.au","Department of Industry and Science"
"tradeunioncorruptionroyalcommission.gov.au","Attorney-General's Department"
"tradeunionroyalcommission.gov.au","Attorney-General's Department"
"training.gov.au","Department of Education and Training"
"transportinfrastructurecouncil.gov.au","Department of Infrastructure and Regional Development"
"travelsmart.gov.au","Department of the Environment"
"treasurer.gov.au","Department of the Treasury"
"treasury.gov.au","Department of the Treasury"
"triplezero.gov.au","Attorney-General's Department"
"truckbuyersguide.gov.au","Department of Infrastructure and Regional Development"
"tspace.gov.au","Department of the Treasury"
"tsra.gov.au","Torres Strait Regional Authority"
"turc.gov.au","Attorney-General's Department"
"tusma.gov.au","Department of Communications"
"understandingmoney.gov.au","Australian Securities and Investments Commission"
"usi.gov.au","Department of Industry and Science"
"vad.gov.au","Department of Defence"
"vanguard.gov.au","Department of Industry and Science"
"vietnamroll.gov.au","Department of Veterans' Affairs"
"visa.gov.au","Department of Immigration and Border Protection"
"vrb.gov.au","Department of Veterans' Affairs"
"vvcs.gov.au","Department of Veterans' Affairs"
"water.gov.au","National Water Commission"
"waterrating.gov.au","Department of the Environment"
"wbacc.gov.au","Wreck Bay Aboriginal Community Council"
"weather.gov.au","Bureau of Meteorology"
"webguide.gov.au","Department of Finance"
"weeds.gov.au","Department of the Environment"
"westernsydneyairport.gov.au","Department of Infrastructure and Regional Development"
"wettropics.gov.au","Wet Tropics Management Authority"
"wgea.gov.au","Workplace Gender Equality Agency"
"wigb.gov.au","Australian Trade Commission (Austrade)"
"wineaustralia.gov.au","Australian Wine and Brandy Corporation"
"wirelessmicrophones.gov.au","Australian Communications and Media Authority (ACMA)"
"women.gov.au","Department of the Prime Minister and Cabinet"
"woolwichdock.gov.au","Sydney Harbour Federation Trust"
"workplaceauthority.gov.au","Department of Employment"
"worksforyou.gov.au","Department of Human Services"
"wtma.gov.au","Wet Tropics Management Authority"
"ww1westernfront.gov.au","Department of Veterans' Affairs"
"ww2australia.gov.au","Department of Veterans' Affairs"
"ww2roll.gov.au","Department of Veterans' Affairs"
"www.gov.au","Department of Finance"
"xml.gov.au","Department of Finance and Deregulation"
"yag.gov.au","Department of Communications"
"youngendeavour.gov.au","Young Endeavour Youth Scheme, RAN, Dept. of Defence"
"yourenergysavings.gov.au","Department of Industry and Science"
"yourhealth.gov.au","Department of Health"
"yourhome.gov.au","Department of Industry and Science"
"youth.gov.au","Department of Education and Training"
